,id,name_x,artist_ids,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,title,rank,date,artist,region,streams,DATE,Year,name_y
414513,5rB5mfeFCkUI3nkHQMMZ3K,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)","['4npEfmQ6YuiwW1GpUmaq3F', '5JZ7CnR6gTvEMKX4g70Amv', '6cK3NBO6uP7hh0oyuVELFl']",False,0.6609999999999999,0.779,-3.995,0.0678,0.00604,0.0,0.218,0.67,129.911,175993,2020,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)",135,2020-08-07,Ava Max,Norway,14225.0,2020-08-07,2020,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)"
414515,35UUpTmrcFXNIVIN26ujXl,Relación - Remix,"['77ziqFxp5gaInVrF2lj4ht', '4VMYDCV2IEDYJArk749S6m', '1vyhD5VmyZ7KMfW5gqLgo5', '7ltDVBr6mKbRvohxheJ9h1', '329e4yvIujISKGKz1BZZbO']",False,0.7929999999999999,0.7709999999999999,-3.417,0.0959,0.0337,1.51e-06,0.284,0.835,171.94299999999996,247308,2020,Relación - Remix,167,2021-07-01,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",Argentina,28085.0,2021-07-01,2021,Relación - Remix
423153,6SqOpxXMMS8axhJoqz8Nel,BOY,['3KonOYiLsU53m4yT7gNotP'],False,0.757,0.7909999999999999,-5.731,0.0476,0.0526,0.0,0.493,0.67,110.062,196667,2020,BOY,132,2020-09-01,TREASURE,Indonesia,40960.0,2020-09-01,2020,BOY
423584,7wHS9bv0aNojNcFkOPeVsb,COME TO ME,['3KonOYiLsU53m4yT7gNotP'],False,0.862,0.802,-5.3420000000000005,0.0498,0.203,0.0,0.172,0.6659999999999999,105.028,204493,2020,COME TO ME,121,2020-08-08,TREASURE,Indonesia,38693.0,2020-08-08,2020,COME TO ME
423653,1rLGgiEroCYgOdLZgYM91z,The World Is Yours,['1QIghPIrXQQ22G1yNtAKFX'],True,0.735,0.797,-6.127000000000002,0.337,0.00896,0.0,0.148,0.725,92.924,291613,2016,The World Is Yours,45,2018-06-15,AKA,South Africa,1372.0,2018-06-15,2018,The World Is Yours
423654,6GMpbs7YtwyJAIZ8On2tgQ,Caiphus Song,['1QIghPIrXQQ22G1yNtAKFX'],True,0.705,0.77,-5.871,0.0892,0.00484,7.32e-06,0.072,0.789,97.003,342062,2017,Caiphus Song,64,2018-06-15,AKA,South Africa,1111.0,2018-06-15,2018,Caiphus Song
423655,0RPx60phqtJ3Vr8pQ6NC0A,Mistä minä tiedän,['54CMkgIraCOO9pSRfPKiKt'],False,0.6759999999999999,0.931,-6.3260000000000005,0.0486,0.042,2.19e-06,0.0866,0.721,113.986,231898,2020,Mistä minä tiedän,188,2020-03-01,Antti Tuisku,Finland,5285.0,2020-03-01,2020,Mistä minä tiedän
423697,1Ol5LmdNDNpFu1oNwfgkux,Tutu,"['28gNT5KBp7IjEOQoevXf9N', '4QVBYiagIaa6ZGSPMbybpy']",False,0.727,0.838,-2.435,0.0472,0.297,0.0,0.0603,0.933,145.995,179339,2020,Tutu,27,2020-05-01,"Camilo, Pedro Capó",Argentina,78186.0,2020-05-01,2020,Tutu
429371,727DZ6qsujnLdNNLooqqZT,Tutu - Remix,"['28gNT5KBp7IjEOQoevXf9N', '0EmeFodog0BfCgMzAIvKQp', '4QVBYiagIaa6ZGSPMbybpy']",False,0.728,0.802,-2.4090000000000003,0.0457,0.411,0.0,0.102,0.866,77.01,165821,2020,Tutu - Remix,189,2020-05-01,"Camilo, Shakira, Pedro Capó",Argentina,24200.0,2020-05-01,2020,Tutu - Remix
429637,2vI4SxtYqAQD5h1nSrqfKM,Muchacha,"['2cy1zPcrFcXAJTP0APWewL', '4obzFoKoKRHIphyHzJ35G3']",False,0.83,0.8370000000000001,-4.789,0.141,0.0784,5.870000000000001e-05,0.0824,0.7440000000000001,115.976,200690,2020,Muchacha,119,2020-05-01,"Gente De Zona, Becky G",Spain,50699.0,2020-05-01,2020,Muchacha
